Date,Actual_Target,Predicted_Target,Forward_Return,ML_Signal,ML_Strategy_Return,Market_Return,Cumulative_Market,Cumulative_ML_Strategy,Up_Probability,ML_Strategy,Cumulative_Strategy
2025-11-28,1,1,0.002418540734283159,0,0.002418540734283159,0.002418540734283159,0.96221242038868,0.9810636304799532,0.525856948830146,0.0,1.0396444166578906
2025-12-01,1,0,0.005635112564047695,0,0.0,0.005635112564047695,0.9676345956880951,0.9810636304799532,0.5290977148135673,0.0,1.0396444166578906
2025-12-02,1,0,0.0030271498658958063,0,0.0,0.0030271498658958063,0.9705637706246685,0.9810636304799532,0.5365827036563876,0.0,1.0396444166578906
2025-12-03,1,1,0.0010593390843631756,0,0.0010593390843631756,0.0010593390843631756,0.9715919267607581,0.9821029095279677,0.5317572616931585,0.0,1.0396444166578906
2025-12-04,0,1,-0.002177001480352825,0,-0.002177001480352825,-0.002177001480352825,0.9694767696979011,0.9799648700400665,0.532253816144621,-0.0,1.0396444166578906
2025-12-05,0,0,-0.0012442293641405922,0,-0.0,-0.0012442293641405922,0.9682705182331908,0.9799648700400665,0.5349537590024841,-0.0,1.0396444166578906
2025-12-08,1,0,0.005242035252497557,0,0.0,0.005242035252497557,0.9733462264237233,0.9799648700400665,0.5262707483892404,0.0,1.0396444166578906
2025-12-09,1,0,0.00841724224442042,0,0.0,0.00841724224442042,0.9815391173992243,0.9799648700400665,0.5217209252351915,0.0,1.0396444166578906
2025-12-10,1,0,0.009401779848882574,0,0.0,0.009401779848882574,0.9907673320940783,0.9799648700400665,0.5075523073339245,0.0,1.0396444166578906
2025-12-11,1,0,0.0045608500818177244,0,0.0,0.0045608500818177244,0.9952860733617219,0.9799648700400665,0.4899707709135226,0.0,1.0396444166578906
2025-12-12,1,0,0.0008576579277153051,0,0.0,0.0008576579277153051,0.9961396883528852,0.9799648700400665,0.47160493550234633,0.0,1.0396444166578906
2025-12-15,1,0,0.00039923845087752596,0,0.0,0.00039923845087752596,0.9965373856189209,0.9799648700400665,0.4736547077797666,0.0,1.0396444166578906
2025-12-16,0,0,-0.0024623542743651416,0,-0.0,-0.0024623542743651416,0.9940835575278775,0.9799648700400665,0.4765267434147874,-0.0,1.0396444166578906
2025-12-17,0,0,-0.003524078003732667,0,-0.0,-0.003524078003732667,0.9905803295289212,0.9799648700400665,0.4846620147937708,-0.0,1.0396444166578906
2025-12-18,1,0,0.0020119435417251808,0,0.0,0.0020119435417251808,0.9925733212254769,0.9799648700400665,0.48760834701994094,0.0,1.0396444166578906
2025-12-19,1,0,0.005956770712923554,0,0.0,0.005956770712923554,0.9984858529157821,0.9799648700400665,0.49765619197219746,0.0,1.0396444166578906
2025-12-22,1,0,0.0065997309361611745,0,0.0,0.0065997309361611745,1.0050755908885896,0.9799648700400665,0.5080348568071419,0.0,1.0396444166578906
2025-12-23,1,0,0.0005768999882975745,0,0.0,0.0005768999882975745,1.0056554189852114,0.9799648700400665,0.5006705079143611,0.0,1.0396444166578906
2025-12-24,0,0,-0.0019189889147768202,0,-0.0,-0.0019189889147768202,1.0037255773840936,0.9799648700400665,0.5024991157994009,-0.0,1.0396444166578906
2025-12-26,0,0,-0.003230436524152669,0,-0.0,-0.003230436524152669,1.0004831056186858,0.9799648700400665,0.49549577682626306,-0.0,1.0396444166578906
